type;traits;random_effect;estimate;STD_ERR_estimate;model_name;data_subset_number;used_seed;trait_combination
genetic_correlation;cfc+caa;animal;0.06275;0.023719;;Sample_1;no_used_seed;CaaCfcCca
variance;cca;herdyear;0.04370;0.006022;;Sample_1;no_used_seed;CaaCfcCca
variance;cfc;herdyear;0.02587;0.002810;;Sample_1;no_used_seed;CaaCfcCca
covariance;cca+cfc;animal;-0.01697;0.006178;;Sample_1;no_used_seed;CaaCfcCca
ratio;caa;residual;0.27071;0.010138;;Sample_1;no_used_seed;CaaCfcCca
covariance;cca+caa;herdyear;0.00447;0.008159;;Sample_1;no_used_seed;CaaCfcCca
correlation;cca+caa;herdyear;0.03378;0.061837;;Sample_1;no_used_seed;CaaCfcCca
variance;cfc;residual;0.26568;0.007579;;Sample_1;no_used_seed;CaaCfcCca
ratio;caa;herdyear;0.42095;0.008594;;Sample_1;no_used_seed;CaaCfcCca
correlation;cca+caa;residual;0.37635;0.049423;;Sample_1;no_used_seed;CaaCfcCca
variance;caa;animal;0.29282;0.012343;;Sample_1;no_used_seed;CaaCfcCca
heritability;cfc;animal;0.25096;0.020614;;Sample_1;no_used_seed;CaaCfcCca
covariance;cfc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCfcCca
heritability;cca;animal;0.73516;0.028337;;Sample_1;no_used_seed;CaaCfcCca
correlation;cfc+caa;herdyear;-0.05274;0.033268;;Sample_1;no_used_seed;CaaCfcCca
genetic_correlation;cca+cfc;animal;-0.06836;0.025827;;Sample_1;no_used_seed;CaaCfcCca
genetic_correlation;cca+caa;animal;-0.37418;0.032453;;Sample_1;no_used_seed;CaaCfcCca
correlation;cfc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCfcCca
covariance;cfc+caa;animal;0.01061;0.003760;;Sample_1;no_used_seed;CaaCfcCca
variance;caa;residual;0.25708;0.009391;;Sample_1;no_used_seed;CaaCfcCca
correlation;cca+cfc;herdyear;-0.01963;0.036341;;Sample_1;no_used_seed;CaaCfcCca
ratio;cfc;herdyear;0.06646;0.006989;;Sample_1;no_used_seed;CaaCfcCca
covariance;cca+cfc;herdyear;-0.00066;0.001224;;Sample_1;no_used_seed;CaaCfcCca
variance;cfc;animal;0.09768;0.008479;;Sample_1;no_used_seed;CaaCfcCca
covariance;cfc+caa;herdyear;-0.00536;0.003388;;Sample_1;no_used_seed;CaaCfcCca
heritability;caa;animal;0.30834;0.012353;;Sample_1;no_used_seed;CaaCfcCca
ratio;cca;herdyear;0.04513;0.007375;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;ccc;residual;0.42500;0.021776;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;ccc;animal;0.47647;0.028425;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
heritability;cca;animal;0.68166;0.025630;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
genetic_correlation;ccc+caa;animal;-0.31829;0.046482;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
ratio;ccc;herdyear;0.04580;0.007384;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
correlation;ccc+cca;residual;---;---;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
heritability;caa;animal;0.33380;0.026345;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
correlation;cca+caa;herdyear;-0.02192;0.051092;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
correlation;cca+caa;residual;0.29215;0.063723;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
genetic_correlation;cca+caa;animal;-0.33719;0.042749;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;ccc+caa;animal;-0.12229;0.018736;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
correlation;ccc+cca;herdyear;0.19599;0.088934;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;ccc+caa;residual;---;---;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
ratio;ccc;residual;0.44986;0.025144;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;cca;animal;0.56322;0.026561;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
genetic_correlation;ccc+cca;animal;0.86745;0.033621;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;ccc+cca;animal;0.44937;0.023810;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;ccc+cca;herdyear;0.00787;0.003540;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;cca;residual;0.22573;0.018437;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;caa;animal;0.30982;0.024975;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;cca;herdyear;0.03729;0.006136;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;ccc+cca;residual;---;---;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;caa;residual;0.24616;0.017890;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
ratio;caa;residual;0.26522;0.019726;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;cca+caa;residual;0.06887;0.013570;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;ccc+caa;herdyear;0.00856;0.004247;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;cca+caa;animal;-0.14085;0.018976;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
heritability;ccc;animal;0.50434;0.026248;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
correlation;ccc+caa;herdyear;0.06745;0.033663;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
correlation;ccc+caa;residual;---;---;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
ratio;caa;herdyear;0.40099;0.011636;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
covariance;cca+caa;herdyear;-0.00258;0.006007;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;ccc;herdyear;0.04327;0.007010;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
variance;caa;herdyear;0.37218;0.013847;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
ratio;cca;residual;0.27321;0.024154;Het;Sample_1;no_used_seed;CaaCcaCcc_Het
genetic_correlation;ccc+caa;animal;-0.33828;0.043437;;Sample_1;no_used_seed;CaaCcaCcc
genetic_correlation;ccc+cca;animal;0.87445;0.032097;;Sample_1;no_used_seed;CaaCcaCcc
ratio;ccc;residual;0.39405;0.025176;;Sample_1;no_used_seed;CaaCcaCcc
covariance;cca+caa;herdyear;0.00918;0.006601;;Sample_1;no_used_seed;CaaCcaCcc
ratio;caa;residual;0.27336;0.018977;;Sample_1;no_used_seed;CaaCcaCcc
variance;caa;herdyear;0.39856;0.013786;;Sample_1;no_used_seed;CaaCcaCcc
covariance;ccc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCcaCcc
covariance;ccc+cca;residual;---;---;;Sample_1;no_used_seed;CaaCcaCcc
covariance;ccc+caa;animal;-0.13444;0.018286;;Sample_1;no_used_seed;CaaCcaCcc
correlation;cca+caa;herdyear;0.07156;0.051523;;Sample_1;no_used_seed;CaaCcaCcc
variance;cca;animal;0.60254;0.028987;;Sample_1;no_used_seed;CaaCcaCcc
heritability;ccc;animal;0.55929;0.026572;;Sample_1;no_used_seed;CaaCcaCcc
variance;ccc;residual;0.38342;0.022401;;Sample_1;no_used_seed;CaaCcaCcc
heritability;caa;animal;0.30617;0.024854;;Sample_1;no_used_seed;CaaCcaCcc
covariance;cca+caa;animal;-0.15244;0.018521;;Sample_1;no_used_seed;CaaCcaCcc
correlation;ccc+cca;residual;---;---;;Sample_1;no_used_seed;CaaCcaCcc
ratio;cca;residual;0.24128;0.024530;;Sample_1;no_used_seed;CaaCcaCcc
variance;cca;herdyear;0.04130;0.005955;;Sample_1;no_used_seed;CaaCcaCcc
correlation;ccc+caa;herdyear;0.13650;0.028490;;Sample_1;no_used_seed;CaaCcaCcc
variance;cca;residual;0.20475;0.019179;;Sample_1;no_used_seed;CaaCcaCcc
correlation;ccc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCcaCcc
ratio;cca;herdyear;0.04867;0.006978;;Sample_1;no_used_seed;CaaCcaCcc
correlation;ccc+cca;herdyear;0.20993;0.094027;;Sample_1;no_used_seed;CaaCcaCcc
variance;ccc;herdyear;0.04541;0.007091;;Sample_1;no_used_seed;CaaCcaCcc
genetic_correlation;cca+caa;animal;-0.36453;0.041644;;Sample_1;no_used_seed;CaaCcaCcc
correlation;cca+caa;residual;0.32579;0.065059;;Sample_1;no_used_seed;CaaCcaCcc
covariance;ccc+cca;herdyear;0.00909;0.004062;;Sample_1;no_used_seed;CaaCcaCcc
covariance;ccc+caa;herdyear;0.01836;0.004158;;Sample_1;no_used_seed;CaaCcaCcc
variance;ccc;animal;0.54420;0.030175;;Sample_1;no_used_seed;CaaCcaCcc
variance;caa;residual;0.25912;0.017375;;Sample_1;no_used_seed;CaaCcaCcc
variance;caa;animal;0.29022;0.024260;;Sample_1;no_used_seed;CaaCcaCcc
ratio;caa;herdyear;0.42046;0.011032;;Sample_1;no_used_seed;CaaCcaCcc
covariance;cca+caa;residual;0.07504;0.013340;;Sample_1;no_used_seed;CaaCcaCcc
ratio;ccc;herdyear;0.04666;0.007242;;Sample_1;no_used_seed;CaaCcaCcc
covariance;ccc+cca;animal;0.50073;0.023709;;Sample_1;no_used_seed;CaaCcaCcc
heritability;cca;animal;0.71004;0.026448;;Sample_1;no_used_seed;CaaCcaCcc
covariance;cac+caa;herdyear;0.00495;0.003631;;Sample_2;no_used_seed;CacCaa
covariance;cac+caa;residual;---;---;;Sample_2;no_used_seed;CacCaa
variance;cac;herdyear;0.01233;0.000688;;Sample_2;no_used_seed;CacCaa
variance;cac;residual;0.02650;0.001176;;Sample_2;no_used_seed;CacCaa
ratio;caa;herdyear;0.37714;0.014738;;Sample_2;no_used_seed;CacCaa
covariance;cac+caa;animal;0.03099;0.006186;;Sample_2;no_used_seed;CacCaa
variance;caa;residual;0.26636;0.024865;;Sample_2;no_used_seed;CacCaa
heritability;cac;animal;0.24671;0.027695;;Sample_2;no_used_seed;CacCaa
variance;cac;animal;0.01272;0.001474;;Sample_2;no_used_seed;CacCaa
ratio;cac;herdyear;0.23914;0.011517;;Sample_2;no_used_seed;CacCaa
ratio;cac;residual;0.51415;0.024469;;Sample_2;no_used_seed;CacCaa
ratio;caa;residual;0.26187;0.026100;;Sample_2;no_used_seed;CacCaa
correlation;cac+caa;herdyear;0.07191;0.052701;;Sample_2;no_used_seed;CacCaa
variance;caa;animal;0.36719;0.036025;;Sample_2;no_used_seed;CacCaa
genetic_correlation;cac+caa;animal;0.45345;0.090776;;Sample_2;no_used_seed;CacCaa
heritability;caa;animal;0.36099;0.033610;;Sample_2;no_used_seed;CacCaa
correlation;cac+caa;residual;---;---;;Sample_2;no_used_seed;CacCaa
variance;caa;herdyear;0.38362;0.019613;;Sample_2;no_used_seed;CacCaa
covariance;ccc+cac;residual;0.00251;0.004286;;Sample_2;no_used_seed;CacCcc
genetic_correlation;ccc+cac;animal;-0.42179;0.057521;;Sample_2;no_used_seed;CacCcc
heritability;ccc;animal;0.59592;0.031215;;Sample_2;no_used_seed;CacCcc
correlation;ccc+cac;residual;0.02603;0.044890;;Sample_2;no_used_seed;CacCcc
ratio;ccc;herdyear;0.06477;0.007244;;Sample_2;no_used_seed;CacCcc
variance;cac;residual;0.02633;0.001214;;Sample_2;no_used_seed;CacCcc
correlation;ccc+cac;herdyear;-0.28783;0.054366;;Sample_2;no_used_seed;CacCcc
ratio;cac;herdyear;0.23953;0.011059;;Sample_2;no_used_seed;CacCcc
ratio;ccc;residual;0.33931;0.029481;;Sample_2;no_used_seed;CacCcc
ratio;cac;residual;0.51016;0.025024;;Sample_2;no_used_seed;CacCcc
covariance;ccc+cac;herdyear;-0.008320;0.1750E-02;;Sample_2;no_used_seed;CacCcc
heritability;cac;animal;0.25030;0.027515;;Sample_2;no_used_seed;CacCcc
variance;ccc;animal;0.62186;0.039219;;Sample_2;no_used_seed;CacCcc
variance;cac;herdyear;0.012363;0.6696E-03;;Sample_2;no_used_seed;CacCcc
covariance;ccc+cac;animal;-0.03781;0.005811;;Sample_2;no_used_seed;CacCcc
variance;ccc;residual;0.35407;0.027439;;Sample_2;no_used_seed;CacCcc
variance;ccc;herdyear;0.067585;0.7728E-02;;Sample_2;no_used_seed;CacCcc
variance;cac;animal;0.01292;0.001469;;Sample_2;no_used_seed;CacCcc
ratio;cac;herdyear;0.24100;0.011358;;Sample_2;no_used_seed;CacCca
heritability;cac;animal;0.24259;0.021207;;Sample_2;no_used_seed;CacCca
covariance;cca+cac;residual;---;---;;Sample_2;no_used_seed;CacCca
ratio;cca;residual;0.20636;0.027514;;Sample_2;no_used_seed;CacCca
covariance;cca+cac;animal;-0.02310;0.004539;;Sample_2;no_used_seed;CacCca
genetic_correlation;cca+cac;animal;-0.26066;0.057983;;Sample_2;no_used_seed;CacCca
ratio;cca;herdyear;0.05972;0.008449;;Sample_2;no_used_seed;CacCca
covariance;cca+cac;herdyear;-0.001830;0.1928E-02;;Sample_2;no_used_seed;CacCca
ratio;cac;residual;0.51641;0.020242;;Sample_2;no_used_seed;CacCca
variance;cca;herdyear;0.051123;0.7315E-02;;Sample_2;no_used_seed;CacCca
variance;cac;animal;0.01250;0.001111;;Sample_2;no_used_seed;CacCca
correlation;cca+cac;herdyear;-0.07262;0.076226;;Sample_2;no_used_seed;CacCca
correlation;cca+cac;residual;---;---;;Sample_2;no_used_seed;CacCca
heritability;cca;animal;0.73392;0.029431;;Sample_2;no_used_seed;CacCca
variance;cca;animal;0.62822;0.032801;;Sample_2;no_used_seed;CacCca
variance;cac;herdyear;0.012421;0.7113E-03;;Sample_2;no_used_seed;CacCca
variance;cac;residual;0.02662;0.001016;;Sample_2;no_used_seed;CacCca
variance;cca;residual;0.17664;0.021686;;Sample_2;no_used_seed;CacCca
covariance;cfc+cac;herdyear;-0.008056;0.1137E-02;;Sample_2;no_used_seed;CacCfc
covariance;cfc+cac;residual;-0.01039;0.2171E-02;;Sample_2;no_used_seed;CacCfc
variance;cfc;residual;0.26636;0.9514E-02;;Sample_2;no_used_seed;CacCfc
covariance;cfc+cac;animal;-0.007381;0.002687;;Sample_2;no_used_seed;CacCfc
correlation;cfc+cac;herdyear;-0.39807;0.045128;;Sample_2;no_used_seed;CacCfc
variance;cac;animal;0.012973;0.001486;;Sample_2;no_used_seed;CacCfc
ratio;cfc;residual;0.67486;0.025696;;Sample_2;no_used_seed;CacCfc
heritability;cfc;animal;0.24150;0.027454;;Sample_2;no_used_seed;CacCfc
ratio;cac;residual;0.50858;0.024938;;Sample_2;no_used_seed;CacCfc
genetic_correlation;cfc+cac;animal;-0.20990;0.073828;;Sample_2;no_used_seed;CacCfc
variance;cac;residual;0.02626;0.1198E-02;;Sample_2;no_used_seed;CacCfc
heritability;cac;animal;0.25122;0.027874;;Sample_2;no_used_seed;CacCfc
variance;cfc;animal;0.095318;0.011286;;Sample_2;no_used_seed;CacCfc
variance;cac;herdyear;0.012405;0.7064E-03;;Sample_2;no_used_seed;CacCfc
ratio;cfc;herdyear;0.08365;0.007971;;Sample_2;no_used_seed;CacCfc
correlation;cfc+cac;residual;-0.12417;0.025347;;Sample_2;no_used_seed;CacCfc
ratio;cac;herdyear;0.24021;0.011540;;Sample_2;no_used_seed;CacCfc
variance;cfc;herdyear;0.033014;0.3254E-02;;Sample_2;no_used_seed;CacCfc
heritability;cfa;animal;0.38462;0.02815;;Sample_2;no_used_seed;CacCfa
correlation;cfa+cac;herdyear;-0.17683;0.089039;;Sample_2;no_used_seed;CacCfa
variance;cfa;residual;0.19269;0.8458E-02;;Sample_2;no_used_seed;CacCfa
ratio;cfa;residual;0.54322;0.027083;;Sample_2;no_used_seed;CacCfa
variance;cac;herdyear;0.012386;0.7197E-03;;Sample_2;no_used_seed;CacCfa
ratio;cfa;herdyear;0.07216;0.007394;;Sample_2;no_used_seed;CacCfa
ratio;cac;herdyear;0.23978;0.011734;;Sample_2;no_used_seed;CacCfa
variance;cfa;animal;0.13643;0.011090;;Sample_2;no_used_seed;CacCfa
variance;cac;animal;0.01308;0.001559;;Sample_2;no_used_seed;CacCfa
covariance;cfa+cac;herdyear;-0.003149;0.1592E-02;;Sample_2;no_used_seed;CacCfa
covariance;cfa+cac;residual;---;---;;Sample_2;no_used_seed;CacCfa
ratio;cac;residual;0.50710;0.025740;;Sample_2;no_used_seed;CacCfa
covariance;cfa+cac;animal;-0.00597;0.004400;;Sample_2;no_used_seed;CacCfa
variance;cac;residual;0.02619;0.1222E-02;;Sample_2;no_used_seed;CacCfa
variance;cfa;herdyear;0.025595;0.2673E-02;;Sample_2;no_used_seed;CacCfa
correlation;cfa+cac;residual;---;---;;Sample_2;no_used_seed;CacCfa
heritability;cac;animal;0.25312;0.02914;;Sample_2;no_used_seed;CacCfa
genetic_correlation;cfa+cac;animal;-0.14143;0.10414;;Sample_2;no_used_seed;CacCfa
correlation;cwc+cac;herdyear;0.43704;0.038758;;Sample_2;no_used_seed;CacCwc
covariance;cwc+cac;animal;-0.003250;0.6251E-03;;Sample_2;no_used_seed;CacCwc
covariance;cwc+cac;herdyear;0.002453;0.2613E-03;;Sample_2;no_used_seed;CacCwc
ratio;cac;residual;0.49974;0.026039;;Sample_2;no_used_seed;CacCwc
genetic_correlation;cwc+cac;animal;-0.41391;0.085057;;Sample_2;no_used_seed;CacCwc
covariance;cwc+cac;residual;0.007730;0.4753E-03;;Sample_2;no_used_seed;CacCwc
heritability;cac;animal;0.26279;0.028866;;Sample_2;no_used_seed;CacCwc
ratio;cwc;herdyear;0.13696;0.008898;;Sample_2;no_used_seed;CacCwc
ratio;cac;herdyear;0.23747;0.012007;;Sample_2;no_used_seed;CacCwc
ratio;cwc;residual;0.62074;0.024338;;Sample_2;no_used_seed;CacCwc
heritability;cwc;animal;0.24230;0.026271;;Sample_2;no_used_seed;CacCwc
variance;cwc;residual;0.011613;0.4183E-03;;Sample_2;no_used_seed;CacCwc
correlation;cwc+cac;residual;0.44600;0.028015;;Sample_2;no_used_seed;CacCwc
variance;cac;residual;0.025865;0.1233E-02;;Sample_2;no_used_seed;CacCwc
variance;cac;animal;0.013601;0.1557E-02;;Sample_2;no_used_seed;CacCwc
variance;cwc;animal;0.004533;0.5140E-03;;Sample_2;no_used_seed;CacCwc
variance;cwc;herdyear;0.002562;0.1741E-03;;Sample_2;no_used_seed;CacCwc
variance;cac;herdyear;0.012290;0.7227E-03;;Sample_2;no_used_seed;CacCwc
covariance;cwa+cac;herdyear;-0.000063;0.9612E-03;;Sample_2;no_used_seed;CacCwa
genetic_correlation;cwa+cac;animal;-0.32529;0.090179;;Sample_2;no_used_seed;CacCwa
ratio;cwa;herdyear;0.19784;0.012671;;Sample_2;no_used_seed;CacCwa
correlation;cwa+cac;herdyear;-0.00401;0.060754;;Sample_2;no_used_seed;CacCwa
ratio;cac;residual;0.50736;0.025892;;Sample_2;no_used_seed;CacCwa
covariance;cwa+cac;residual;---;---;;Sample_2;no_used_seed;CacCwa
variance;cac;herdyear;0.012413;0.6934E-03;;Sample_2;no_used_seed;CacCwa
heritability;cac;animal;0.25241;0.028072;;Sample_2;no_used_seed;CacCwa
variance;cac;animal;0.013043;0.1509E-02;;Sample_2;no_used_seed;CacCwa
heritability;cwa;animal;0.35293;0.029402;;Sample_2;no_used_seed;CacCwa
variance;cwa;residual;0.045795;0.2421E-02;;Sample_2;no_used_seed;CacCwa
ratio;cac;herdyear;0.24023;0.011146;;Sample_2;no_used_seed;CacCwa
ratio;cwa;residual;0.44923;0.027027;;Sample_2;no_used_seed;CacCwa
variance;cac;residual;0.026217;0.1210E-02;;Sample_2;no_used_seed;CacCwa
correlation;cwa+cac;residual;---;---;;Sample_2;no_used_seed;CacCwa
variance;cwa;animal;0.035978;0.3236E-02;;Sample_2;no_used_seed;CacCwa
covariance;cwa+cac;animal;-0.007047;0.2077E-02;;Sample_2;no_used_seed;CacCwa
variance;cwa;herdyear;0.020168;0.1478E-02;;Sample_2;no_used_seed;CacCwa
ratio;ccc;herdyear;0.06267;0.006487;;Sample_2;no_used_seed;CaaCcc
variance;ccc;residual;0.35631;0.026591;;Sample_2;no_used_seed;CaaCcc
ratio;caa;residual;0.25658;0.024854;;Sample_2;no_used_seed;CaaCcc
genetic_correlation;ccc+caa;animal;-0.23004;0.066000;;Sample_2;no_used_seed;CaaCcc
covariance;ccc+caa;herdyear;-0.01230;0.012748;;Sample_2;no_used_seed;CaaCcc
correlation;ccc+caa;residual;---;---;;Sample_2;no_used_seed;CaaCcc
variance;ccc;herdyear;0.06530;0.006701;;Sample_2;no_used_seed;CaaCcc
heritability;ccc;animal;0.59536;0.030349;;Sample_2;no_used_seed;CaaCcc
variance;caa;residual;0.26107;0.023438;;Sample_2;no_used_seed;CaaCcc
heritability;caa;animal;0.36802;0.032068;;Sample_2;no_used_seed;CaaCcc
correlation;ccc+caa;herdyear;-0.07787;0.080707;;Sample_2;no_used_seed;CaaCcc
covariance;ccc+caa;residual;---;---;;Sample_2;no_used_seed;CaaCcc
variance;caa;herdyear;0.38197;0.020640;;Sample_2;no_used_seed;CaaCcc
ratio;ccc;residual;0.34197;0.028333;;Sample_2;no_used_seed;CaaCcc
covariance;ccc+caa;animal;-0.11087;0.031986;;Sample_2;no_used_seed;CaaCcc
ratio;caa;herdyear;0.37540;0.015148;;Sample_2;no_used_seed;CaaCcc
variance;caa;animal;0.37446;0.034253;;Sample_2;no_used_seed;CaaCcc
variance;ccc;animal;0.62033;0.037867;;Sample_2;no_used_seed;CaaCcc
correlation;ccc+caa;herdyear;-0.07787;0.080707;;Sample_2;no_used_seed;CaaCca
variance;caa;residual;0.26107;0.023438;;Sample_2;no_used_seed;CaaCca
variance;caa;herdyear;0.38197;0.020640;;Sample_2;no_used_seed;CaaCca
covariance;ccc+caa;herdyear;-0.01230;0.012748;;Sample_2;no_used_seed;CaaCca
covariance;ccc+caa;residual;---;---;;Sample_2;no_used_seed;CaaCca
covariance;ccc+caa;animal;-0.11087;0.031986;;Sample_2;no_used_seed;CaaCca
heritability;ccc;animal;0.59536;0.030349;;Sample_2;no_used_seed;CaaCca
genetic_correlation;ccc+caa;animal;-0.23004;0.066000;;Sample_2;no_used_seed;CaaCca
heritability;caa;animal;0.36802;0.032068;;Sample_2;no_used_seed;CaaCca
ratio;ccc;herdyear;0.06267;0.006487;;Sample_2;no_used_seed;CaaCca
variance;ccc;animal;0.62033;0.037867;;Sample_2;no_used_seed;CaaCca
variance;caa;animal;0.37446;0.034253;;Sample_2;no_used_seed;CaaCca
ratio;caa;herdyear;0.37540;0.015148;;Sample_2;no_used_seed;CaaCca
ratio;ccc;residual;0.34197;0.028333;;Sample_2;no_used_seed;CaaCca
variance;ccc;herdyear;0.06530;0.006701;;Sample_2;no_used_seed;CaaCca
correlation;ccc+caa;residual;---;---;;Sample_2;no_used_seed;CaaCca
variance;ccc;residual;0.35631;0.026591;;Sample_2;no_used_seed;CaaCca
ratio;caa;residual;0.25658;0.024854;;Sample_2;no_used_seed;CaaCca
variance;cfc;animal;0.09618;0.011205;;Sample_2;no_used_seed;CaaCfc
ratio;cfc;residual;0.67482;0.026033;;Sample_2;no_used_seed;CaaCfc
ratio;caa;herdyear;0.37304;0.014511;;Sample_2;no_used_seed;CaaCfc
correlation;cfc+caa;herdyear;-0.09416;0.064102;;Sample_2;no_used_seed;CaaCfc
covariance;cfc+caa;residual;---;---;;Sample_2;no_used_seed;CaaCfc
covariance;cfc+caa;animal;-0.00023;0.010349;;Sample_2;no_used_seed;CaaCfc
genetic_correlation;cfc+caa;animal;-0.00123;0.054085;;Sample_2;no_used_seed;CaaCfc
ratio;cfc;herdyear;0.08123;0.008031;;Sample_2;no_used_seed;CaaCfc
ratio;caa;residual;0.25299;0.025106;;Sample_2;no_used_seed;CaaCfc
variance;caa;herdyear;0.37937;0.020408;;Sample_2;no_used_seed;CaaCfc
variance;cfc;residual;0.26606;0.009570;;Sample_2;no_used_seed;CaaCfc
heritability;caa;animal;0.37397;0.030724;;Sample_2;no_used_seed;CaaCfc
covariance;cfc+caa;herdyear;-0.01038;0.007108;;Sample_2;no_used_seed;CaaCfc
variance;caa;residual;0.25729;0.023605;;Sample_2;no_used_seed;CaaCfc
correlation;cfc+caa;residual;---;---;;Sample_2;no_used_seed;CaaCfc
variance;caa;animal;0.38032;0.032922;;Sample_2;no_used_seed;CaaCfc
variance;cfc;herdyear;0.03203;0.003272;;Sample_2;no_used_seed;CaaCfc
heritability;cfc;animal;0.24394;0.027281;;Sample_2;no_used_seed;CaaCfc
variance;cfa;animal;0.13640;0.004600;;Sample_2;no_used_seed;CaaCfa
ratio;cfa;residual;0.54285;0.012101;;Sample_2;no_used_seed;CaaCfa
covariance;cfa+caa;animal;-0.03980;0.006743;;Sample_2;no_used_seed;CaaCfa
ratio;caa;herdyear;0.38168;0.012485;;Sample_2;no_used_seed;CaaCfa
ratio;cfa;herdyear;0.07291;0.008405;;Sample_2;no_used_seed;CaaCfa
variance;caa;residual;0.25844;0.9915E-02;;Sample_2;no_used_seed;CaaCfa
genetic_correlation;cfa+caa;animal;-0.17546;0.029251;;Sample_2;no_used_seed;CaaCfa
variance;cfa;herdyear;0.02588;0.003083;;Sample_2;no_used_seed;CaaCfa
covariance;cfa+caa;residual;-0.00266;0.6326E-02;;Sample_2;no_used_seed;CaaCfa
correlation;cfa+caa;herdyear;-0.20516;0.041672;;Sample_2;no_used_seed;CaaCfa
variance;caa;herdyear;0.39239;0.019014;;Sample_2;no_used_seed;CaaCfa
heritability;caa;animal;0.36693;0.013198;;Sample_2;no_used_seed;CaaCfa
variance;cfa;residual;0.19270;0.4502E-02;;Sample_2;no_used_seed;CaaCfa
heritability;cfa;animal;0.38424;0.011709;;Sample_2;no_used_seed;CaaCfa
covariance;cfa+caa;herdyear;-0.02067;0.004437;;Sample_2;no_used_seed;CaaCfa
ratio;caa;residual;0.25139;0.011391;;Sample_2;no_used_seed;CaaCfa
correlation;cfa+caa;residual;-0.01194;0.028276;;Sample_2;no_used_seed;CaaCfa
variance;caa;animal;0.37722;0.014273;;Sample_2;no_used_seed;CaaCfa
variance;cwc;residual;0.01179;0.000446;;Sample_2;no_used_seed;CaaCwc
covariance;cwc+caa;residual;---;---;;Sample_2;no_used_seed;CaaCwc
heritability;cwc;animal;0.23039;0.02820;;Sample_2;no_used_seed;CaaCwc
genetic_correlation;cwc+caa;animal;-0.31836;0.10087;;Sample_2;no_used_seed;CaaCwc
covariance;cwc+caa;herdyear;-0.00110;0.001232;;Sample_2;no_used_seed;CaaCwc
variance;cwc;herdyear;0.00252;0.000169;;Sample_2;no_used_seed;CaaCwc
ratio;cwc;herdyear;0.13572;0.008520;;Sample_2;no_used_seed;CaaCwc
correlation;cwc+caa;residual;---;---;;Sample_2;no_used_seed;CaaCwc
correlation;cwc+caa;herdyear;-0.03538;0.039881;;Sample_2;no_used_seed;CaaCwc
covariance;cwc+caa;animal;-0.01278;0.003983;;Sample_2;no_used_seed;CaaCwc
variance;cwc;animal;0.00429;0.000551;;Sample_2;no_used_seed;CaaCwc
variance;caa;residual;0.26011;0.018493;;Sample_2;no_used_seed;CaaCwc
variance;caa;herdyear;0.38139;0.020037;;Sample_2;no_used_seed;CaaCwc
ratio;caa;herdyear;0.37482;0.014575;;Sample_2;no_used_seed;CaaCwc
ratio;cwc;residual;0.63390;0.027118;;Sample_2;no_used_seed;CaaCwc
variance;caa;animal;0.37603;0.026903;;Sample_2;no_used_seed;CaaCwc
ratio;caa;residual;0.25563;0.019517;;Sample_2;no_used_seed;CaaCwc
heritability;caa;animal;0.36955;0.02537;;Sample_2;no_used_seed;CaaCwc
